1: -4740.513131313131
1.1: -4714.0888888888885
1.2000000000000002: -4696.1535353535355
1.3000000000000003: -4661.858585858586
1.4000000000000004: -4626.929292929293
1.5000000000000004: -4567.915151515152
1.6000000000000005: -4502.238383838384
1.7000000000000006: -4408.040404040404
1.8000000000000007: -4314.973737373737
1.9000000000000008: -4190.193939393939
2.000000000000001: -4004.4969696969697
2.100000000000001: -3808.1131313131314
2.200000000000001: -3536.193939393939
2.300000000000001: -3243.430303030303
2.4000000000000012: -2979.1959595959597
2.5000000000000013: -2735.971717171717
2.6000000000000014: -2549.058585858586
2.7000000000000015: -2408.028282828283
2.8000000000000016: -2258.5050505050503
2.9000000000000017: -2139.1757575757574
3.0000000000000018: -2036.0282828282827
