1: -4992.973737373737
1.1: -4985.490909090909
1.2000000000000002: -4971.3656565656565
1.3000000000000003: -4950.30303030303
1.4000000000000004: -4919.090909090909
1.5000000000000004: -4878.985858585858
1.6000000000000005: -4820.666666666667
1.7000000000000006: -4745.660606060606
1.8000000000000007: -4650.844444444445
1.9000000000000008: -4523.890909090909
2.000000000000001: -4366.630303030303
2.100000000000001: -4161.632323232323
2.200000000000001: -3844.311111111111
2.300000000000001: -3402.3474747474747
2.4000000000000012: -3006.747474747475
2.5000000000000013: -2773.4949494949497
2.6000000000000014: -2572.5050505050503
2.7000000000000015: -2405.9959595959594
2.8000000000000016: -2266.1535353535355
2.9000000000000017: -2144.169696969697
3.0000000000000018: -2047.3616161616162
